# ICC Profile MPE CurveSet Export
# Tag: AToB1Tag
# Element: 0
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.105250306	0.010857034	0.010857034	0.010857034
0.105494507	0.010896785	0.010896785	0.010896785
0.105738707	0.010936621	0.010936621	0.010936621
0.105982907	0.010976538	0.010976538	0.010976538
0.106227107	0.011016543	0.011016543	0.011016543
0.106471308	0.011056633	0.011056633	0.011056633
0.106715508	0.011096805	0.011096805	0.011096805
0.106959708	0.011137065	0.011137065	0.011137065
0.107203908	0.011177410	0.011177410	0.011177410
0.107448108	0.011217837	0.011217837	0.011217837
0.107692309	0.011258353	0.011258353	0.011258353
0.107936509	0.011298954	0.011298954	0.011298954
0.108180709	0.011339637	0.011339637	0.011339637
0.108424909	0.011380408	0.011380408	0.011380408
0.108669110	0.011421261	0.011421261	0.011421261
0.108913310	0.011462203	0.011462203	0.011462203
0.109157510	0.011503231	0.011503231	0.011503231
0.109401710	0.011544341	0.011544341	0.011544341
0.109645911	0.011585539	0.011585539	0.011585539
0.109890111	0.011626824	0.011626824	0.011626824
0.110134311	0.011668190	0.011668190	0.011668190
0.110378511	0.011709646	0.011709646	0.011709646
0.110622711	0.011751188	0.011751188	0.011751188
0.110866912	0.011792812	0.011792812	0.011792812
0.111111112	0.011834526	0.011834526	0.011834526
0.111355312	0.011876324	0.011876324	0.011876324
0.111599512	0.011918207	0.011918207	0.011918207
0.111843713	0.011960178	0.011960178	0.011960178
0.112087913	0.012002234	0.012002234	0.012002234
0.112332113	0.012044375	0.012044375	0.012044375
0.112576313	0.012086605	0.012086605	0.012086605
0.112820514	0.012128920	0.012128920	0.012128920
0.113064714	0.012171320	0.012171320	0.012171320
0.113308914	0.012213808	0.012213808	0.012213808
0.113553114	0.012256380	0.012256380	0.012256380
0.113797314	0.012299041	0.012299041	0.012299041
0.114041515	0.012341789	0.012341789	0.012341789
0.114285715	0.012384620	0.012384620	0.012384620
0.114529915	0.012427541	0.012427541	0.012427541
0.114774115	0.012470549	0.012470549	0.012470549
0.115018316	0.012513640	0.012513640	0.012513640
0.115262516	0.012556821	0.012556821	0.012556821
0.115506716	0.012600088	0.012600088	0.012600088
0.115750916	0.012643441	0.012643441	0.012643441
0.115995117	0.012686882	0.012686882	0.012686882
0.116239317	0.012730410	0.012730410	0.012730410
0.116483517	0.012774022	0.012774022	0.012774022
0.116727717	0.012817726	0.012817726	0.012817726
0.116971917	0.012861514	0.012861514	0.012861514
0.117216118	0.012905388	0.012905388	0.012905388
0.117460318	0.012949352	0.012949352	0.012949352
0.117704518	0.012993401	0.012993401	0.012993401
0.117948718	0.013037539	0.013037539	0.013037539
0.118192919	0.013081765	0.013081765	0.013081765
0.118437119	0.013126074	0.013126074	0.013126074
0.118681319	0.013170475	0.013170475	0.013170475
0.118925519	0.013214963	0.013214963	0.013214963
0.119169720	0.013259536	0.013259536	0.013259536
0.119413920	0.013304199	0.013304199	0.013304199
0.119658120	0.013348950	0.013348950	0.013348950
0.119902320	0.013393785	0.013393785	0.013393785
0.120146520	0.013438712	0.013438712	0.013438712
0.120390721	0.013483725	0.013483725	0.013483725
0.120634921	0.013528824	0.013528824	0.013528824
0.120879121	0.013574013	0.013574013	0.013574013
0.121123321	0.013619292	0.013619292	0.013619292
0.121367522	0.013664654	0.013664654	0.013664654
0.121611722	0.013710108	0.013710108	0.013710108
0.121855922	0.013755649	0.013755649	0.013755649
0.122100122	0.013801276	0.013801276	0.013801276
0.122344323	0.013846994	0.013846994	0.013846994
0.122588523	0.013892797	0.013892797	0.013892797
0.122832723	0.013938691	0.013938691	0.013938691
0.123076923	0.013984675	0.013984675	0.013984675
0.123321123	0.014030742	0.014030742	0.014030742
0.123565324	0.014076902	0.014076902	0.014076902
0.123809524	0.014123150	0.014123150	0.014123150
0.124053724	0.014169483	0.014169483	0.014169483
0.124297924	0.014215909	0.014215909	0.014215909
0.124542125	0.014262422	0.014262422	0.014262422
0.124786325	0.014309022	0.014309022	0.014309022
0.125030532	0.014355713	0.014355713	0.014355713
0.125274733	0.014402492	0.014402492	0.014402492
0.125518933	0.014449361	0.014449361	0.014449361
0.125763133	0.014496315	0.014496315	0.014496315
0.126007333	0.014543362	0.014543362	0.014543362
0.126251534	0.014590497	0.014590497	0.014590497
0.126495734	0.014637718	0.014637718	0.014637718
0.126739934	0.014685031	0.014685031	0.014685031
0.126984134	0.014732433	0.014732433	0.014732433
0.127228335	0.014779923	0.014779923	0.014779923
0.127472535	0.014827503	0.014827503	0.014827503
0.127716735	0.014875173	0.014875173	0.014875173
0.127960935	0.014922929	0.014922929	0.014922929
0.128205135	0.014970778	0.014970778	0.014970778
0.128449336	0.015018716	0.015018716	0.015018716
0.128693536	0.015066739	0.015066739	0.015066739
0.128937736	0.015114856	0.015114856	0.015114856
0.129181936	0.015163059	0.015163059	0.015163059
0.129426137	0.015211355	0.015211355	0.015211355
0.129670337	0.015259741	0.015259741	0.015259741
0.129914537	0.015308212	0.015308212	0.015308212
0.130158737	0.015356777	0.015356777	0.015356777
0.130402938	0.015405432	0.015405432	0.015405432
0.130647138	0.015454173	0.015454173	0.015454173
0.130891338	0.015503008	0.015503008	0.015503008
0.131135538	0.015551932	0.015551932	0.015551932
0.131379738	0.015600943	0.015600943	0.015600943
0.131623939	0.015650047	0.015650047	0.015650047
0.131868139	0.015699241	0.015699241	0.015699241
0.132112339	0.015748521	0.015748521	0.015748521
0.132356539	0.015797896	0.015797896	0.015797896
0.132600740	0.015847357	0.015847357	0.015847357
0.132844940	0.015896913	0.015896913	0.015896913
0.133089140	0.015946558	0.015946558	0.015946558
0.133333340	0.015996290	0.015996290	0.015996290
0.133577541	0.016046114	0.016046114	0.016046114
0.133821741	0.016096031	0.016096031	0.016096031
0.134065941	0.016146034	0.016146034	0.016146034
0.134310141	0.016196132	0.016196132	0.016196132
0.134554341	0.016246317	0.016246317	0.016246317
0.134798542	0.016296593	0.016296593	0.016296593
0.135042742	0.016346963	0.016346963	0.016346963
0.135286942	0.016397420	0.016397420	0.016397420
0.135531142	0.016447971	0.016447971	0.016447971
0.135775343	0.016498610	0.016498610	0.016498610
0.136019543	0.016549340	0.016549340	0.016549340
0.136263743	0.016600162	0.016600162	0.016600162
0.136507943	0.016651075	0.016651075	0.016651075
0.136752144	0.016702078	0.016702078	0.016702078
0.136996344	0.016753173	0.016753173	0.016753173
