# ICC Profile MPE CurveSet Export
# Tag: BToA1Tag
# Element: 1
# Channels: 3
# Samples: 4096
# Format: input(normalized 0-1) <tab> ch0_output ... chN_output
#
input	ch0	ch1	ch2
0.023443224	0.165847778	0.165847778	0.165847778
0.023687424	0.166803420	0.166803420	0.166803420
0.023931624	0.167753339	0.167753339	0.167753339
0.024175825	0.168697596	0.168697596	0.168697596
0.024420025	0.169636339	0.169636339	0.169636339
0.024664225	0.170569599	0.170569599	0.170569599
0.024908425	0.171497494	0.171497494	0.171497494
0.025152626	0.172420114	0.172420114	0.172420114
0.025396826	0.173337489	0.173337489	0.173337489
0.025641026	0.174249768	0.174249768	0.174249768
0.025885226	0.175156951	0.175156951	0.175156951
0.026129426	0.176059186	0.176059186	0.176059186
0.026373627	0.176956505	0.176956505	0.176956505
0.026617827	0.177848995	0.177848995	0.177848995
0.026862027	0.178736717	0.178736717	0.178736717
0.027106227	0.179619759	0.179619759	0.179619759
0.027350428	0.180498153	0.180498153	0.180498153
0.027594628	0.181371987	0.181371987	0.181371987
0.027838828	0.182241321	0.182241321	0.182241321
0.028083028	0.183106244	0.183106244	0.183106244
0.028327229	0.183966756	0.183966756	0.183966756
0.028571429	0.184822977	0.184822977	0.184822977
0.028815629	0.185674906	0.185674906	0.185674906
0.029059829	0.186522663	0.186522663	0.186522663
0.029304029	0.187366277	0.187366277	0.187366277
0.029548230	0.188205779	0.188205779	0.188205779
0.029792430	0.189041257	0.189041257	0.189041257
0.030036630	0.189872742	0.189872742	0.189872742
0.030280830	0.190700293	0.190700293	0.190700293
0.030525031	0.191523969	0.191523969	0.191523969
0.030769231	0.192343801	0.192343801	0.192343801
0.031013431	0.193159878	0.193159878	0.193159878
0.031257633	0.193972170	0.193972170	0.193972170
0.031501833	0.194780797	0.194780797	0.194780797
0.031746034	0.195585757	0.195585757	0.195585757
0.031990234	0.196387112	0.196387112	0.196387112
0.032234434	0.197184920	0.197184920	0.197184920
0.032478634	0.197979212	0.197979212	0.197979212
0.032722834	0.198770016	0.198770016	0.198770016
0.032967035	0.199557394	0.199557394	0.199557394
0.033211235	0.200341374	0.200341374	0.200341374
0.033455435	0.201122016	0.201122016	0.201122016
0.033699635	0.201899320	0.201899320	0.201899320
0.033943836	0.202673346	0.202673346	0.202673346
0.034188036	0.203444123	0.203444123	0.203444123
0.034432236	0.204211712	0.204211712	0.204211712
0.034676436	0.204976112	0.204976112	0.204976112
0.034920637	0.205737412	0.205737412	0.205737412
0.035164837	0.206495583	0.206495583	0.206495583
0.035409037	0.207250684	0.207250684	0.207250684
0.035653237	0.208002776	0.208002776	0.208002776
0.035897437	0.208751857	0.208751857	0.208751857
0.036141638	0.209497958	0.209497958	0.209497958
0.036385838	0.210241139	0.210241139	0.210241139
0.036630038	0.210981429	0.210981429	0.210981429
0.036874238	0.211718827	0.211718827	0.211718827
0.037118439	0.212453395	0.212453395	0.212453395
0.037362639	0.213185161	0.213185161	0.213185161
0.037606839	0.213914156	0.213914156	0.213914156
